id,nombre,costo,precio_venta
391,REFREZCO MENTOL X12 U ,5094.0,5660.0
392,FELF. LICORFORT WHISKY X15,0.0,0.0
393,FELFORT BOC. CERICET X24,0.0,0.0
394,FELFORT BOTELLITA X20U,0.0,0.0
395,FELFORT DOS CORAZONES X20U,19363.5,21515.0
396,FELFORT FEELING X30,14931.0,16590.0
397,FELFORT JACKELIN X15,10629.0,11810.0
398,FELFORT JACKELIN X30,23400.0,26000.0
399,FELFORT KOOKY BOM X30U. ,6966.0,7740.0
400,FELFORT LICORITAS X25U,24654.6,27394.0
401,FELFORT MARROC X60U,32124.6,35694.0
402,FELFORT MEDALLON D/LECHE X20,14166.0,15740.0
403,FELFORT MENTITAS X30,13408.2,14898.0
404,FELFORT PARAGUITAS X20,0.0,0.0
405,FELFORT PARAGUITAS X40U,21996.0,24440.0
406,FELFORT PIRATAS X60,20304.0,22560.0
407,FELFORT TAB. C/MANI X250G,9540.0,10600.0
408,FELFORT TAB. L Y M 10X75G,31680.0,35200.0
409,FELFORT TURRONCINO 5 CER X30,39128.4,43476.0
410,FELFORT TURRONCINO X30,39128.4,43476.0
411,FELFORT CHUPELATIN X32,27544.5,30605.0
412,FELFORT TIVIS X20,14544.0,16160.0
413,FELFORT C/FORT ACTION X24,10238.4,11376.0
414,FELFORT C/FORT CHOCOLATE X24,10238.4,11376.0
415,FELFORT C/FORT CROCO  X24,10238.4,11376.0
416,FELFORT C/FORT FLEKOS X24,10238.4,11376.0
417,FELFORT C/FORT FRUTILLA X24,10238.4,11376.0
418,FELFORT C/FORT FRUTOS-ROJOS X24,10238.4,11376.0
419,FELFORT C/FORT GRAN RICO X24,10238.4,11376.0
420,FELFORT C/FORT LADIES,10238.4,11376.0
421,FELFORT C/FORT MANZANA X24,10238.4,11376.0
422,FELFORT C/FORT NUTRI X24,10238.4,11376.0
423,FELFORT C/FORT ROJO X24,10238.4,11376.0
424,FELFORT C/FORT YOG. ANANA X24,10238.4,11376.0
425,FELFORT BARRITA CHOCO/MANI 24X20,0.0,0.0
426,FELFORT BARRITA NEGRO 30X16,0.0,0.0
427,FELFORT BARRITA BLANCO 30X16,0.0,0.0
428,FELFORT ESPACIAL FORT X20 U,0.0,0.0
429,FELFORT NOBEL 15X35 GF,21667.5,24075.0
430,FELFORT HUEVO JACK,0.0,0.0
431,FELFORT DIABFORT X20 X50GR,0.0,0.0
432,*FERNET BRANCA x750-,0.0,0.0
433,*KINDER JOY -,1373.4,1526.0
434,*KINDER X12 NENE -,1323.0,1470.0
435,*KINDER X12 NENA -,1323.0,1470.0
436,*KINDER MAXI X10 U -,6408.0,7120.0
437,*KINDER BUENO WHITE X10 U -,1678.5,1865.0
438,*KINDER BUENO  X10 U -,1678.5,1865.0
439,*KINDER BARRA 20X50GR GRS-,1505.7,1673.0
440,*FERRERO ROCHER 3X16-,1684.8,1872.0
441,*FERRERO ROCHER ACRILICO-,0.0,0.0
442,*FERRERO ROCHER ACRILICO X12-,7069.5,7855.0
443,*FERRERO ROCHER X24U.-,13729.5,15255.0
444,*FERRERO ROCHER X8U.-,5034.6,5594.0
